director,database frequency,idf
Andrzej Bartkowiak,5,6.8373
Andrew Niccol,5,6.8373
Andrew Adamson,5,6.8373
Alexander Payne,5,6.8373
Alex Proyas,5,6.8373
Walter Hill,4,7.0605
Walt Becker,4,7.0605
Vincenzo Natali,4,7.0605
Timur Bekmambetov,4,7.0605
Terrence Malick,4,7.0605
Terence Young,4,7.0605
Tarsem Singh,4,7.0605
Steven Brill,4,7.0605
Steve Oedekerk,4,7.0605
Steve Carr,4,7.0605
Stephen Sommers,4,7.0605
Spike Jonze,4,7.0605
Sofia Coppola,4,7.0605
Simon Wincer,4,7.0605
Shane Meadows,4,7.0605
Sergio Leone,4,7.0605
Sean Anders,4,7.0605
Scott Derrickson,4,7.0605
Sam Weisman,4,7.0605
Sam Peckinpah,4,7.0605
Russell Mulcahy,4,7.0605
Ronny Yu,4,7.0605
Ron Shelton,4,7.0605
Roger Spottiswoode,4,7.0605
Rob Zombie,4,7.0605
Rob Bowman,4,7.0605
Rick Famuyiwa,4,7.0605
Richard Fleischer,4,7.0605
Richard Brooks,4,7.0605
Richard Attenborough,4,7.0605
Randall Wallace,4,7.0605
Pierre Morel,4,7.0605
Phil Lord,4,7.0605
Peyton Reed,4,7.0605
Peter Weir,4,7.0605
Peter Howitt,4,7.0605
Peter Hewitt,4,7.0605
Peter Cattaneo,4,7.0605
Penny Marshall,4,7.0605
Paul Feig,4,7.0605
Patrick Lussier,4,7.0605
Oliver Parker,4,7.0605
Nicolas Winding Refn,4,7.0605
Nick Cassavetes,4,7.0605
Neil Burger,4,7.0605
Mike Mitchell,4,7.0605
Mike Judge,4,7.0605
Mikael Håfström,4,7.0605
Michel Gondry,4,7.0605
Michael Caton-Jones,4,7.0605
Matthew Vaughn,4,7.0605
Matt Reeves,4,7.0605
Martin Brest,4,7.0605
Mark L. Lester,4,7.0605
Luke Greenfield,4,7.0605
Ken Kwapis,4,7.0605
Keenen Ivory Wayans,4,7.0605
Jonathan Mostow,4,7.0605
Jonathan Lynn,4,7.0605
Jonathan Levine,4,7.0605
Jonathan Frakes,4,7.0605
Jon Amiel,4,7.0605
John Sayles,4,7.0605
John Moore,4,7.0605
John Lee Hancock,4,7.0605
John Ford,4,7.0605
John Erick Dowdle,4,7.0605
John Dahl,4,7.0605
Joel Coen,4,7.0605
Joe Johnston,4,7.0605
Jeff Tremaine,4,7.0605
Jeff Nichols,4,7.0605
Jean-Jacques Annaud,4,7.0605
Jay Duplass,4,7.0605
Jay Chandrasekhar,4,7.0605
Jaume Balagueró,4,7.0605
Jason Friedberg,4,7.0605
James Wong,4,7.0605
James McTeigue,4,7.0605
James Gray,4,7.0605
Jake Kasdan,4,7.0605
J.J. Abrams,4,7.0605
Irwin Winkler,4,7.0605
Iain Softley,4,7.0605
Hugh Wilson,4,7.0605
Hayao Miyazaki,4,7.0605
Harold Becker,4,7.0605
George Tillman Jr.,4,7.0605
Gavin Hood,4,7.0605
Gabriele Muccino,4,7.0605
Frank Marshall,4,7.0605
Frank Darabont,4,7.0605
Edward Burns,4,7.0605
Edgar Wright,4,7.0605
Dean Parisot,4,7.0605
David Wain,4,7.0605
David Twohy,4,7.0605
David Lean,4,7.0605
David Frankel,4,7.0605
David Dobkin,4,7.0605
David Bowers,4,7.0605
D.J. Caruso,4,7.0605
Craig Gillespie,4,7.0605
Christopher Guest,4,7.0605
Carlos Saldanha,4,7.0605
Burr Steers,4,7.0605
Brad Silberling,4,7.0605
Bob Clark,4,7.0605
Billy Wilder,4,7.0605
Betty Thomas,4,7.0605
Baz Luhrmann,4,7.0605
Anthony Russo,4,7.0605
Andrew Fleming,4,7.0605
Andrew Davis,4,7.0605
Amy Heckerling,4,7.0605
Alfonso Cuarón,4,7.0605
Alexandre Aja,4,7.0605
Alex Kendrick,4,7.0605
Alejandro Amenábar,4,7.0605
Adrian Lyne,4,7.0605
William Brent Bell,3,7.3482
Will Gluck,3,7.3482
Warren Beatty,3,7.3482
Walter Salles,3,7.3482
Victor Salva,3,7.3482
Victor Fleming,3,7.3482
Trey Parker,3,7.3482
Tony Gilroy,3,7.3482
Tom Hooper,3,7.3482
Tom Dey,3,7.3482
Todd Solondz,3,7.3482
Todd Haynes,3,7.3482
Thor Freudenthal,3,7.3482
Thomas Vinterberg,3,7.3482
Thomas Carter,3,7.3482
Steve Pink,3,7.3482
Stephen Kay,3,7.3482
Stephen Chow,3,7.3482
Stefan Ruzowitzky,3,7.3482
Shekhar Kapur,3,7.3482
Shana Feste,3,7.3482
Seth MacFarlane,3,7.3482
Seth Gordon,3,7.3482
Sergey Bodrov,3,7.3482
Scott Cooper,3,7.3482
Ruben Fleischer,3,7.3482
Ron Underwood,3,7.3482
Ron Clements,3,7.3482
Roland Joffé,3,7.3482
Roger Michell,3,7.3482
Roger Kumble,3,7.3482
Robert Wise,3,7.3482
Robert Iscove,3,7.3482
Robert Altman,3,7.3482
Rob Letterman,3,7.3482
Richard Shepard,3,7.3482
Richard Loncraine,3,7.3482
Richard Kelly,3,7.3482
Richard Curtis,3,7.3482
Richard Benjamin,3,7.3482
Reginald Hudlin,3,7.3482
Rawson Marshall Thurber,3,7.3482
Randal Kleiser,3,7.3482
Peter Sollett,3,7.3482
Pete Docter,3,7.3482
Paul McGuigan,3,7.3482
Paul Haggis,3,7.3482
Patricia Riggen,3,7.3482
Olivier Megaton,3,7.3482
Nora Ephron,3,7.3482
Noah Baumbach,3,7.3482
Nimród Antal,3,7.3482
Niki Caro,3,7.3482
Nicholas Hytner,3,7.3482
Neill Blomkamp,3,7.3482
Neil Marshall,3,7.3482
Neil LaBute,3,7.3482
Morgan Spurlock,3,7.3482
Mimi Leder,3,7.3482
Milos Forman,3,7.3482
Mike Binder,3,7.3482
Michael Tiddes,3,7.3482
Michael Schultz,3,7.3482
Michael Ritchie,3,7.3482
Michael Lehmann,3,7.3482
Michael Hoffman,3,7.3482
Michael Haneke,3,7.3482
Michael Curtiz,3,7.3482
Mel Gibson,3,7.3482
Mark Dindal,3,7.3482
Marc Webb,3,7.3482
Marc Lawrence,3,7.3482
Lewis Gilbert,3,7.3482
Leonard Nimoy,3,7.3482
Len Wiseman,3,7.3482
Lars von Trier,3,7.3482
King Vidor,3,7.3482
Kimberly Peirce,3,7.3482
Kevin Rodney Sullivan,3,7.3482
Kevin Macdonald,3,7.3482
Kevin Costner,3,7.3482
Kelly Reichardt,3,7.3482
Kathryn Bigelow,3,7.3482
Kasi Lemmons,3,7.3482
Kar-Wai Wong,3,7.3482
Julie Taymor,3,7.3482
Joss Whedon,3,7.3482
Jonathan Glazer,3,7.3482
Jon Knautz,3,7.3482
Jon Gunn,3,7.3482
Jon Avnet,3,7.3482
John Waters,3,7.3482
John Stockwell,3,7.3482
John Schultz,3,7.3482
John Schlesinger,3,7.3482
John Pasquin,3,7.3482
John Milius,3,7.3482
John Hillcoat,3,7.3482
John Hamburg,3,7.3482
John Cameron Mitchell,3,7.3482
John Boorman,3,7.3482
Joe Nussbaum,3,7.3482
Joe Carnahan,3,7.3482
Jodie Foster,3,7.3482
Jim Sheridan,3,7.3482
Jesse Dylan,3,7.3482
Jerry Zucker,3,7.3482
Jeff Wadlow,3,7.3482
Jean-Marie Poiré,3,7.3482
Jean-Marc Vallée,3,7.3482
Jay Russell,3,7.3482
Jared Hess,3,7.3482
Jane Campion,3,7.3482
James L. Brooks,3,7.3482
James Gunn,3,7.3482
James Foley,3,7.3482
James DeMonaco,3,7.3482
James Cox,3,7.3482
James Bobin,3,7.3482
James Algar,3,7.3482
J.C. Chandor,3,7.3482
Howard Deutch,3,7.3482
Henry Joost,3,7.3482
Gurinder Chadha,3,7.3482
Gregory Hoblit,3,7.3482
Greg Mottola,3,7.3482
Glenn Ficarra,3,7.3482
Gina Prince-Bythewood,3,7.3482
George Sidney,3,7.3482
George P. Cosmatos,3,7.3482
Gary Ross,3,7.3482
Franklin J. Schaffner,3,7.3482
Frank Miller,3,7.3482
Fernando Meirelles,3,7.3482
Elia Kazan,3,7.3482
Eli Roth,3,7.3482
Duncan Jones,3,7.3482
Douglas McGrath,3,7.3482
Don Coscarelli,3,7.3482
Don Bluth,3,7.3482
Dominic Sena,3,7.3482
Dennie Gordon,3,7.3482
Denis Villeneuve,3,7.3482
Dean DeBlois,3,7.3482
Davis Guggenheim,3,7.3482
David Yates,3,7.3482
David Slade,3,7.3482
David Raynr,3,7.3482
Danny DeVito,3,7.3482
Daniel Espinosa,3,7.3482
Christopher McQuarrie,3,7.3482
Chris Wedge,3,7.3482
Chris Rock,3,7.3482
Charles Martin Smith,3,7.3482
Charles Herman-Wurmfeld,3,7.3482
Chan-wook Park,3,7.3482
Carl Franklin,3,7.3482
Bruce Beresford,3,7.3482
Breck Eisner,3,7.3482
Brad Peyton,3,7.3482
Boaz Yakin,3,7.3482
Bille Woodruff,3,7.3482
Bibo Bergeron,3,7.3482
Barbra Streisand,3,7.3482
Baltasar Kormákur,3,7.3482
Anton Corbijn,3,7.3482
Anthony Minghella,3,7.3482
Angelina Jolie Pitt,3,7.3482
Andrew Stanton,3,7.3482
Anand Tucker,3,7.3482
Albert Hughes,3,7.3482
Alan Parker,3,7.3482
Zal Batmanglij,2,7.7536
Zach Braff,2,7.7536
Yash Chopra,2,7.7536
Xavier Gens,2,7.7536
William Malone,2,7.7536
