actor,database frequency,idf
Vincent Pastore,4,7.0605
Victor Wong,4,7.0605
Vanessa Redgrave,4,7.0605
Topher Grace,4,7.0605
Taylor Negron,4,7.0605
Stockard Channing,4,7.0605
Stephen Graham,4,7.0605
Sissy Spacek,4,7.0605
Sid Haig,4,7.0605
Shah Rukh Khan,4,7.0605
Sean Pertwee,4,7.0605
Scott Glenn,4,7.0605
Robert Forster,4,7.0605
Peter Greene,4,7.0605
Paul Sorvino,4,7.0605
Paddy Considine,4,7.0605
Olivier Martinez,4,7.0605
Miriam Margolyes,4,7.0605
Mike Starr,4,7.0605
Michael Moore,4,7.0605
Michael Kelly,4,7.0605
Michael Imperioli,4,7.0605
Michael Gough,4,7.0605
Michael Angarano,4,7.0605
Mekhi Phifer,4,7.0605
Matt Bomer,4,7.0605
Marlon Brando,4,7.0605
Mark Margolis,4,7.0605
Liam Aiken,4,7.0605
Leslie Bibb,4,7.0605
Lena Dunham,4,7.0605
Kristin Scott Thomas,4,7.0605
Kieran Culkin,4,7.0605
Kevin Zegers,4,7.0605
Kelly Preston,4,7.0605
Kane Hodder,4,7.0605
Julie Benz,4,7.0605
Julian Morris,4,7.0605
Jon Heder,4,7.0605
John Witherspoon,4,7.0605
Jim Belushi,4,7.0605
Jeremy Irvine,4,7.0605
James Coburn,4,7.0605
Ioan Gruffudd,4,7.0605
Harold Perrineau,4,7.0605
Frank Langella,4,7.0605
Frances Fisher,4,7.0605
Ethan Embry,4,7.0605
Eric Idle,4,7.0605
Emily Watson,4,7.0605
Ellen Burstyn,4,7.0605
Eileen Brennan,4,7.0605
Eddie Redmayne,4,7.0605
Eddie Cibrian,4,7.0605
Donald Faison,4,7.0605
Delroy Lindo,4,7.0605
Dane Cook,4,7.0605
Colm Feore,4,7.0605
Cicely Tyson,4,7.0605
Christoph Waltz,4,7.0605
CCH Pounder,4,7.0605
Brian Dennehy,4,7.0605
Boris Kodjoe,4,7.0605
Billy Crudup,4,7.0605
Bella Thorne,4,7.0605
Archie Panjabi,4,7.0605
Andrew Garfield,4,7.0605
America Ferrera,4,7.0605
Alexander Skarsgård,4,7.0605
Aidan Turner,4,7.0605
Aidan Quinn,4,7.0605
Adam Baldwin,4,7.0605
Zack Ward,3,7.3482
Zachary Gordon,3,7.3482
Yaphet Kotto,3,7.3482
Will Forte,3,7.3482
Wilford Brimley,3,7.3482
Wagner Moura,3,7.3482
Virginia Madsen,3,7.3482
Tony Curran,3,7.3482
Tom Selleck,3,7.3482
Tim Blake Nelson,3,7.3482
Tia Carrere,3,7.3482
Terry Pheto,3,7.3482
Ted Raimi,3,7.3482
Taylor Lautner,3,7.3482
Steve Guttenberg,3,7.3482
Stephen Rea,3,7.3482
Stephen McHattie,3,7.3482
Sophia Myles,3,7.3482
Shannon Elizabeth,3,7.3482
Shailene Woodley,3,7.3482
Sarah Silverman,3,7.3482
Sarah Polley,3,7.3482
Sam Shepard,3,7.3482
Ryan Guzman,3,7.3482
Rory Culkin,3,7.3482
Romola Garai,3,7.3482
Roger Rees,3,7.3482
Robert Shaw,3,7.3482
Rob Riggle,3,7.3482
Rita Moreno,3,7.3482
Rip Torn,3,7.3482
Richard E. Grant,3,7.3482
Quvenzhané Wallis,3,7.3482
Peter Coyote,3,7.3482
Paul Hogan,3,7.3482
Patrick Fugit,3,7.3482
Orlando Bloom,3,7.3482
Oprah Winfrey,3,7.3482
Omari Hardwick,3,7.3482
Olivia Munn,3,7.3482
Oliver Reed,3,7.3482
Noel Gugliemi,3,7.3482
Noel Fisher,3,7.3482
Nia Vardalos,3,7.3482
Natasha Henstridge,3,7.3482
MyAnna Buring,3,7.3482
Montgomery Clift,3,7.3482
Ming-Na Wen,3,7.3482
Min-sik Choi,3,7.3482
Mike Vogel,3,7.3482
Miguel Ferrer,3,7.3482
Michiel Huisman,3,7.3482
Michael Wincott,3,7.3482
Michael Smiley,3,7.3482
Michael Rapaport,3,7.3482
Michael Emerson,3,7.3482
Meat Loaf,3,7.3482
Matthew Perry,3,7.3482
Martin Short,3,7.3482
Marley Shelton,3,7.3482
Mark Addy,3,7.3482
Marc Blucas,3,7.3482
Lucas Grabeel,3,7.3482
Louis Lombardi,3,7.3482
Loretta Devine,3,7.3482
Linda Cardellini,3,7.3482
Leighton Meester,3,7.3482
Lee Marvin,3,7.3482
LeVar Burton,3,7.3482
Laurence Olivier,3,7.3482
Laura Ramsey,3,7.3482
Kurtwood Smith,3,7.3482
Konstantin Khabenskiy,3,7.3482
Kelli Garner,3,7.3482
Katrina Bowden,3,7.3482
Justin Theroux,3,7.3482
Julie Walters,3,7.3482
Judge Reinhold,3,7.3482
Joseph Cotten,3,7.3482
Jonathan Winters,3,7.3482
John Ratzenberger,3,7.3482
John Michael Higgins,3,7.3482
John Amos,3,7.3482
