ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
915;Dead Man on Campus;1998;6.0;96;Alan Cohn;Alyson Hannigan;Comedy;college|party|roommate|student
916;Dead Man's Shoes;2004;7.7;90;Shane Meadows;Paddy Considine;Crime|Drama|Thriller;anger|independent film|revenge|sex scene
917;Dead Poets Society;1989;8.0;128;Peter Weir;Robin Williams;Comedy|Drama;poet|professor|student
918;Dead Snow;2009;6.4;91;Tommy Wirkola;Bjørn Sundquist;Comedy|Horror;medical student|nazi|snow|zombie
919;Deadfall;2012;6.3;95;Stefan Ruzowitzky;Charlie Hunnam;Crime|Drama|Thriller;police officer|sex scene
920;Deadline - U.S.A.;1952;7.2;87;Richard Brooks;Humphrey Bogart;Crime|Drama|Film-Noir;gangster|newspaper|organized crime
921;Deadpool;2016;8.1;108;Tim Miller;Ryan Reynolds;Action|Adventure|Comedy|Romance|Sci-Fi;based on comic book|breaking the fourth wall|mercenary|mutant
922;Dear Frankie;2004;7.8;105;Shona Auerbach;Gerard Butler;Drama|Romance;boy|letter|stranger
923;Dear John;2010;6.3;108;Lasse Hallström;Channing Tatum;Drama|Romance|War;army|love
924;Dear Wendy;2004;6.6;102;Thomas Vinterberg;Michael Angarano;Comedy|Crime|Drama|Romance;gang|gun|love|outcast
925;Death Becomes Her;1992;6.4;104;Robert Zemeckis;Bruce Willis;Comedy|Fantasy|Horror;revenge|rival|rivalry
926;Death Calls;2010;4.3;90;Ken Del Conte;Hector Echavarria;Action|Adventure|Mystery|Romance|Thriller;murder|revenge
927;Death Race 2000;1975;6.2;80;Paul Bartel;Sylvester Stallone;Action|Comedy|Sci-Fi|Sport;cult film|psychotronic|race
928;Death Race;2008;6.4;111;Paul W.S. Anderson;Jason Statham;Action|Sci-Fi|Thriller;car|murder|prison
929;Death Sentence;2007;6.8;111;James Wan;Aisha Tyler;Action|Crime|Thriller;blood|death|gang|murder|revenge
930;Death at a Funeral;2007;7.4;87;Frank Oz;Peter Dinklage;Comedy;four word title|funeral|secret|uncle
931;Death to Smoochy;2002;6.4;109;Danny DeVito;Robin Williams;Comedy|Crime|Drama|Thriller;children|money|revenge|scandal
932;Deceptive Practice: The Mysteries and Mentors of Ricky Jay;2012;7.1;88;Molly Bernstein;David Mamet;Documentary;
933;Deck the Halls;2006;4.9;93;John Whitesell;Matthew Broderick;Comedy|Family;christmas|neighbor
934;Deconstructing Harry;1997;7.4;96;Woody Allen;Woody Allen;Comedy;marriage|novelist|writing
935;Decoys;2004;4.6;95;Matthew Hastings;Meghan Ory;Comedy|Horror|Sci-Fi;breasts|college|virginity
936;Deep Blue Sea;1999;5.8;105;Renny Harlin;LL Cool J;Action|Sci-Fi|Thriller;alzheimer's disease|experiment|research
937;Deep Impact;1998;6.1;120;Mimi Leder;Morgan Freeman;Action|Drama|Romance|Sci-Fi|Thriller;mission|president|secretary
938;Deep Rising;1998;6.0;106;Stephen Sommers;Djimon Hounsou;Action|Adventure|Horror|Sci-Fi;ocean|ship
939;Def-Con 4;1985;4.3;88;Paul Donovan;Maury Chaykin;Action|Sci-Fi;independent film|post apocalypse|remake|survival
940;Defendor;2009;6.8;95;Peter Stebbings;Michael Kelly;Comedy|Crime|Drama;organized crime|pimp|superhero|vigilante
941;Definitely, Maybe;2008;7.2;112;Adam Brooks;Ryan Reynolds;Comedy|Drama|Romance;college|daughter|girl|sex|wisconsin
942;Delgo;2008;4.4;94;Marc F. Adler;Eric Idle;Adventure|Animation|Comedy|Fantasy|Romance;box office flop|one word title|surrealism
943;Deliver Us from Evil;2014;6.2;118;Scott Derrickson;Olivia Munn;Horror|Mystery|Thriller;demonic possession|exorcism|priest
944;Delivery Man;2013;6.4;105;Ken Scott;Jack Reynor;Comedy|Drama;children|identity|lawyer
945;Demonic;2015;5.3;83;Will Canon;Frank Grillo;Horror|Thriller;death|detective|house|supernatural
946;Departure;2015;7.0;109;Andrew Steggall;Juliet Stevenson;Drama|Family|Romance;france|gay|masturbation
947;Derailed;2005;6.6;112;Mikael Håfström;Denis O'Hare;Drama|Thriller;drink|hotel|police|thief
948;Desert Blue;1998;6.2;90;Morgan J. Freeman;Ethan Suplee;Drama;desert|teenage girl|vomiting
949;Desert Dancer;2014;6.0;104;Richard Raymond;Tom Cullen;Biography|Drama;dance|dancer|dancing|desert
950;Desperado;1995;7.2;104;Robert Rodriguez;Quentin Tarantino;Action|Crime|Thriller;female frontal nudity|female nudity|female rear nudity
951;Despicable Me 2;2013;7.5;98;Pierre Coffin;Steve Carell;Animation|Comedy|Family|Sci-Fi;dating
952;Despicable Me;2010;7.7;87;Pierre Coffin;Steve Carell;Animation|Comedy|Family;girl|moon
953;Detention of the Dead;2012;4.6;87;Alex Craig Mann;Justin Chon;Comedy|Horror;based on play|blood|independent film|teenager|zombie
954;Detention;2011;5.8;93;Joseph Kahn;Josh Hutcherson;Comedy|Horror|Sci-Fi;blood splatter|high school|overalls
955;Deterrence;1999;6.5;104;Rod Lurie;Kevin Pollak;Drama|Thriller;diner|iraq|president
956;Detroit Rock City;1999;6.8;95;Adam Rifkin;Natasha Lyonne;Comedy|Music;band|concert|high school|kiss|teenager
957;Deuce Bigalow: European Gigolo;2005;4.6;83;Mike Bigelow;Carlos Ponce;Comedy;dolphin|pimp|serial killer
958;Deuce Bigalow: Male Gigolo;1999;5.7;88;Mike Mitchell;Amy Poehler;Comedy|Romance;fish
959;Deuces Wild;2002;5.6;96;Scott Kalvert;Norman Reedus;Action|Crime|Drama;1950s|gang|new york city
960;Devil's Due;2014;4.0;89;Matt Bettinelli-Olpin;Zach Gilford;Horror|Mystery;party
961;Devil;2010;6.3;80;John Erick Dowdle;Bojana Novakovic;Horror|Mystery|Thriller;devil|elevator
962;Diamond Ruff;2015;4.3;82;Alec Asten;Luis Sanchez;Action;prison|prisoner|terminal illness|two word title
963;Diamonds Are Forever;1971;6.7;120;Guy Hamilton;Desmond Llewelyn;Action|Adventure|Thriller;cat|diamond
964;Diary of a Mad Black Woman;2005;5.6;116;Darren Grant;Cicely Tyson;Comedy|Drama|Romance;diary|kiss|madea series
965;Diary of a Wimpy Kid: Dog Days;2012;6.4;94;David Bowers;Zachary Gordon;Comedy|Family;best friend|no opening credits
966;Diary of a Wimpy Kid: Rodrick Rules;2011;6.6;99;David Bowers;Zachary Gordon;Comedy|Family;brother|no opening credits|photograph|school
967;Diary of a Wimpy Kid;2010;6.2;94;Thor Freudenthal;Chloë Grace Moretz;Comedy|Family;diary|friend|school
968;Diary of the Dead;2007;5.7;95;George A. Romero;Megan Park;Horror;hospital|video camera
969;Dick Tracy;1990;6.1;105;Warren Beatty;Charlie Korsmo;Action|Comedy|Crime|Music|Romance|Thriller;crime boss|detective|gangster|orphan
970;Dickie Roberts: Former Child Star;2003;5.6;98;Sam Weisman;Kevin Grevioux;Comedy;panties|white panties
971;Dick;1999;6.1;94;Andrew Fleming;Ryan Reynolds;Comedy;teenage girl|white house|witness
972;Did You Hear About the Morgans?;2009;4.7;103;Marc Lawrence;Michael Kelly;Comedy|Drama|Romance;fbi|murder|witness
973;Die Another Day;2002;6.1;133;Lee Tamahori;Toby Stephens;Action|Adventure|Thriller;colonel|diamond
974;Die Hard 2;1990;7.1;124;Renny Harlin;Bruce Willis;Action|Thriller;airport|plane|police|terrorist
975;Die Hard with a Vengeance;1995;7.6;128;John McTiernan;Bruce Willis;Action|Adventure|Thriller;bomb|detective|new york city|police|terrorist
976;Die Hard;1988;8.2;131;John McTiernan;Alan Rickman;Action|Thriller;christmas|christmas eve|held at gunpoint|hostage
977;Digimon: The Movie;2000;5.9;82;Mamoru Hosoda;Lara Jill Miller;Action|Adventure|Animation|Family|Sci-Fi;box office hit|computer|internet
978;Diner;1982;7.2;110;Barry Levinson;Steve Guttenberg;Comedy|Drama;diner|marriage|salesman|wedding
979;Dinner Rush;2000;7.3;99;Bob Giraldi;Danny Aiello;Crime|Drama|Romance;detective|food|gangster|police|restaurant
980;Dinner for Schmucks;2010;5.9;114;Jay Roach;Steve Carell;Comedy;dinner|mouse
981;Dinosaur;2000;6.5;82;Eric Leighton;Alfre Woodard;Adventure|Animation|Family|Thriller;egg
982;Dirty Grandpa;2016;6.0;109;Dan Mazer;Robert De Niro;Comedy;voyeur|voyeurism|white panties
983;Dirty Pretty Things;2002;7.4;97;Stephen Frears;Sophie Okonedo;Crime|Drama|Thriller;hotel|immigrant|surgery
984;Dirty Work;1998;6.4;82;Bob Saget;Don Rickles;Comedy;cult film|job|revenge
985;Disaster Movie;2008;1.9;88;Jason Friedberg;Carmen Electra;Comedy;
986;Disclosure;1994;6.0;128;Barry Levinson;Demi Moore;Drama|Thriller;computer|marriage
987;District 9;2009;8.0;112;Neill Blomkamp;Sharlto Copley;Action|Sci-Fi|Thriller;alien|ghetto
988;District B13;2004;7.2;84;Pierre Morel;David Belle;Action|Crime|Thriller;bomb|gang|police|sister|undercover cop
989;Disturbia;2007;6.9;105;D.J. Caruso;Sarah Roemer;Drama|Mystery|Thriller;neighbor
990;Disturbing Behavior;1998;5.5;84;David Nutter;Bruce Greenwood;Horror|Mystery|Sci-Fi|Thriller;high school
991;Divergent;2014;6.7;139;Neil Burger;Kate Winslet;Adventure|Mystery|Sci-Fi;army|brother sister relationship|dystopia|father son relationship
992;Divine Secrets of the Ya-Ya Sisterhood;2002;6.0;116;Callie Khouri;Ellen Burstyn;Drama;flashback|interview|louisiana|playwright
993;Django Unchained;2012;8.5;165;Quentin Tarantino;Leonardo DiCaprio;Drama|Western;historically inaccurate|slavery
994;Do You Believe?;2015;5.9;120;Jon Gunn;Alexa PenaVega;Drama;faith|pastor|three word title
995;Do the Right Thing;1989;7.9;120;Spike Lee;Ruby Dee;Drama;
996;Doc Holliday's Revenge;2014;3.8;84;David DeCoteau;William McNamara;Western;cowboy
997;Doctor Dolittle;1998;5.3;85;Betty Thomas;Oliver Platt;Comedy|Family|Fantasy;box office hit|doctor|dog|first part|tiger
998;Doctor Zhivago;1965;8.0;200;David Lean;Julie Christie;Drama|Romance|War;poet|russia
999;Dodgeball: A True Underdog Story;2004;6.7;92;Rawson Marshall Thurber;Gary Cole;Comedy|Sport;gym|pirate
1000;Dogma;1999;7.4;130;Kevin Smith;Matt Damon;Adventure|Comedy|Drama|Fantasy;abortion|angel|church
1001;Dogtooth;2009;7.3;94;Yorgos Lanthimos;Angeliki Papoulia;Drama|Thriller;fellatio
1002;Dogtown and Z-Boys;2001;7.7;91;Stacy Peralta;Tony Alva;Documentary|Sport;california|surfer
1003;Dolphin Tale 2;2014;6.4;107;Charles Martin Smith;Morgan Freeman;Drama|Family;dolphin|turtle
1004;Dolphin Tale;2011;6.9;113;Charles Martin Smith;Morgan Freeman;Drama|Family;boy|dolphin|trap
1005;Dolphins and Whales 3D: Tribes of the Ocean;2008;6.5;42;Jean-Jacques Mantello;Charlotte Rampling;Adventure|Documentary|Short;animal in title|digit in title|dolphin
1006;Dom Hemingway;2013;6.2;93;Richard Shepard;Richard E. Grant;Comedy|Crime|Drama;male frontal nudity|male nudity|male rear nudity|nudity|sex scene
1007;Domestic Disturbance;2001;5.5;89;Harold Becker;Steve Buscemi;Crime|Mystery|Thriller;boy|witness
1008;Domino;2005;6.0;127;Tony Scott;Ian Ziering;Action|Biography|Crime|Drama|Thriller;bounty hunter|fbi|female nudity
1009;Don Jon;2013;6.6;90;Joseph Gordon-Levitt;Joseph Gordon-Levitt;Comedy|Drama|Romance;cunnilingus|new jersey|oral sex
1010;Don Juan DeMarco;1994;6.8;97;Jeremy Leven;Johnny Depp;Comedy|Drama|Romance;mental institution|patient|psychiatrist|retirement
1011;Don McKay;2009;5.9;87;Jake Goldberger;Pruitt Taylor Vince;Drama|Mystery|Thriller;
1012;Don't Be Afraid of the Dark;2010;5.6;99;Troy Nixey;Bailee Madison;Fantasy|Horror|Thriller;basement|creature|disappearance|mansion
1013;Don't Say a Word;2001;6.3;113;Gary Fleder;Oliver Platt;Crime|Drama|Mystery|Thriller;mental institution|psychiatrist|vomiting|voyeur
1014;Donkey Punch;2008;5.2;99;Oliver Blackburn;Julian Morris;Crime|Drama|Horror|Thriller;male frontal nudity|male nudity|male pubic hair|male rear nudity|spain
1015;Donnie Brasco;1997;7.8;147;Mike Newell;Johnny Depp;Biography|Crime|Drama;fbi|mafia|money|singer
1016;Donnie Darko;2001;8.1;133;Richard Kelly;Jake Gyllenhaal;Drama|Sci-Fi|Thriller;1980s|death|insanity|time travel
1017;Donovan's Reef;1963;6.9;109;John Ford;Lee Marvin;Adventure|Comedy|Romance;priest
1018;Doogal;2006;2.8;77;Dave Borthwick;Jimmy Fallon;Adventure|Animation|Comedy|Family|Fantasy;diamond|magic|mountain
1019;Doomsday;2008;6.0;113;Neil Marshall;Ryan Kruger;Action|Sci-Fi|Thriller;cure|scotland|virus
1020;Doom;2005;5.2;113;Andrzej Bartkowiak;Dwayne Johnson;Action|Adventure|Horror|Sci-Fi;special forces|teleportation
1021;Dope;2015;7.3;103;Rick Famuyiwa;Kimberly Elise;Comedy|Crime|Drama;african american|hip hop|party
1022;Double Impact;1991;5.5;110;Sheldon Lettich;Bolo Yeung;Action|Crime;boat|hong kong|murder|tunnel|twins
1023;Double Jeopardy;1999;6.4;105;Bruce Beresford;Bruce Greenwood;Crime|Mystery|Thriller;blood|murder|sex scene
1024;Double Take;2001;5.3;88;George Gallo;Daniel Roebuck;Action|Comedy|Crime|Thriller;cia|cia agent|fbi|mexico|train
1025;Doubt;2008;7.5;104;John Patrick Shanley;Philip Seymour Hoffman;Drama|Mystery;boy|catholic|nun|priest|student
1026;Doug's 1st Movie;1999;5.0;77;Maurice Joyce;Frank Welker;Animation|Comedy|Family;dance|friend|monster
1027;Down Terrace;2009;6.5;93;Ben Wheatley;Michael Smiley;Comedy|Crime|Drama;black comedy
1028;Down and Out with the Dolls;2001;6.1;88;Kurt Voss;Lemmy;Comedy|Music;
1029;Down for Life;2009;7.3;92;Alan Jacobs;Snoop Dogg;Drama;
1030;Down in the Valley;2005;6.5;108;David Jacobson;Hunter Parrish;Drama|Romance|Thriller;beach|cowboy
1031;Down to Earth;2001;5.4;87;Chris Weitz;Chazz Palminteri;Comedy|Fantasy;angel|butler|heaven|manhattan new york city
1032;Down to You;2000;4.9;91;Kris Isacsson;Rosario Dawson;Comedy|Drama|Romance;artist|college|new york city|student
1033;Downfall;2004;8.3;178;Oliver Hirschbiegel;Thomas Kretschmann;Biography|Drama|History|War;nazi
1034;Dr. Dolittle 2;2001;4.6;87;Steve Carr;Raven-Symoné;Comedy|Family|Fantasy;bear|doctor|false accusation|man with glasses|second part
1035;Dr. No;1962;7.3;110;Terence Young;Ursula Andress;Action|Adventure|Thriller;hand to hand combat|murder|official james bond series
1036;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;8.5;95;Stanley Kubrick;George C. Scott;Comedy;general|u.s. president
1037;Dracula 2000;2000;4.9;99;Patrick Lussier;Gerard Butler;Action|Fantasy|Horror|Thriller;dracula|gothic|painting|rescue
1038;Dracula Untold;2014;6.3;92;Gary Shore;Dominic Cooper;Action|Drama|Fantasy|Horror|War;dracula|vampire
1039;Dracula: Pages from a Virgin's Diary;2002;7.0;73;Guy Maddin;Sarah Murphy-Dyson;Comedy|Horror|Musical;ballet|cult film|dance|dracula|gothic
1040;Draft Day;2014;6.8;110;Ivan Reitman;Jennifer Garner;Drama|Sport;
1041;Drag Me to Hell;2009;6.6;99;Sam Raimi;Bojana Novakovic;Horror|Thriller;evil|fight|hell|psychic|psychologist
1042;Dragon Blade;2015;6.1;103;Daniel Lee;Si Won Choi;Action|Adventure|Drama|History;sword
1043;Dragon Hunters;2008;6.6;80;Guillaume Ivernel;Rob Paulsen;Adventure|Animation|Family|Fantasy;dragon|hunter
1044;Dragon Wars: D-War;2007;3.6;107;Hyung-rae Shim;Robert Forster;Action|Drama|Fantasy|Horror|Thriller;dragon|reporter
1045;DragonHeart;1996;6.4;103;Rob Cohen;Dennis Quaid;Action|Adventure|Fantasy;dragon|england|king|knight
1046;Dragonball: Evolution;2009;2.7;100;James Wong;Ian Whyte;Action|Adventure|Fantasy|Sci-Fi|Thriller;dragon|warrior
1047;Dragonfly;2002;6.1;104;Tom Shadyac;Joe Morton;Drama|Fantasy|Mystery|Romance|Thriller;death|doctor|patient
1048;Dragonslayer;1981;6.7;108;Matthew Robbins;Ian McDiarmid;Action|Adventure|Fantasy;apprentice|dragon|king|kingdom|wizard
1049;Dream House;2011;6.0;84;Jim Sheridan;Naomi Watts;Drama|Mystery|Thriller;father daughter relationship|train
1050;Dream with the Fishes;1997;7.0;97;Finn Taylor;David Arquette;Comedy|Drama;dying|voyeur
1051;Dreamcatcher;2003;5.5;136;Lawrence Kasdan;Morgan Freeman;Drama|Horror|Sci-Fi|Thriller;alien|friend|maine|military|woods
1052;Dreamer: Inspired by a True Story;2005;6.9;98;John Gatins;Ken Howard;Drama|Family|Sport;horse|overalls|six word title
1053;Dreamgirls;2006;6.5;130;Bill Condon;Loretta Devine;Drama|Music|Musical;1960s|fire|singer
1054;Dreaming of Joseph Lees;1999;6.4;92;Eric Styles;Samantha Morton;Drama|Romance;love triangle|lust|sister sister relationship|unrequited love
1055;Dredd;2012;7.1;95;Pete Travis;Wood Harris;Action|Sci-Fi;female warrior|post apocalypse
1056;Dressed to Kill;1980;7.1;104;Brian De Palma;Angie Dickinson;Mystery|Romance|Thriller;apartment|elevator|murder|psychiatrist
1057;Drillbit Taylor;2008;5.7;102;Steven Brill;Lisa Ann Walter;Comedy|Drama;bodyguard|bully|high school|nerd
1058;Drinking Buddies;2013;6.1;90;Joe Swanberg;Olivia Wilde;Comedy|Drama|Romance;
1059;Drive Angry;2011;5.5;104;Patrick Lussier;Nicolas Cage;Action|Fantasy|Thriller;baby|cult|sex scene|waitress
1060;Drive Me Crazy;1999;5.7;91;John Schultz;Stephen Collins;Comedy|Drama|Romance;girl|prom|school
1061;Driven;2001;4.5;116;Renny Harlin;Sylvester Stallone;Action|Drama|Sport;german
1062;Drive;2011;7.8;100;Nicolas Winding Refn;Ryan Gosling;Crime|Drama;neo noir|protective male
1063;Driving Lessons;2006;6.8;98;Jeremy Brock;Rupert Grint;Comedy|Drama;actress|coming of age|teenage boy|vomiting
1064;Driving Miss Daisy;1989;7.4;99;Bruce Beresford;Morgan Freeman;Comedy|Drama|Family;1950s|african american|jewish|widow
1065;Drop Dead Gorgeous;1999;6.5;97;Michael Patrick Jann;Kirsten Dunst;Comedy|Romance|Thriller;beauty pageant|small town|upskirt
1066;Drowning Mona;2000;5.6;96;Nick Gomez;Will Ferrell;Comedy|Crime|Mystery;suspect|waitress
1067;Drumline;2002;5.7;118;Charles Stone III;Leonard Roberts;Comedy|Drama|Music|Romance;drummer|fish out of water|university
1068;Dry Spell;2013;3.3;90;Travis Legge;Kristen Seavey;Comedy|Romance;dating|divorce|sex scene
1069;Dude, Where's My Car?;2000;5.5;83;Danny Leiner;Jennifer Garner;Comedy|Mystery;bare chested male|homoeroticism|lesbian kiss
1070;Dudley Do-Right;1999;3.8;77;Hugh Wilson;Brendan Fraser;Comedy|Family|Romance;gold|mirror|police officer|singer
1071;Due Date;2010;6.6;95;Todd Phillips;Robert Downey Jr.;Comedy|Drama;actor
1072;Duel in the Sun;1946;6.9;144;King Vidor;Joseph Cotten;Drama|Romance|Western;box office hit|infidelity|shooting|texas
1073;Duets;2000;6.0;112;Bruce Paltrow;Lochlyn Munro;Comedy|Drama|Music;convict|salesman|singer
1074;Dum Maaro Dum;2011;6.2;128;Rohan Sippy;Abhishek Bachchan;Action|Crime|Drama|Thriller;airport|drugs|police
1075;Duma;2005;7.3;100;Carroll Ballard;Eamonn Walker;Adventure|Drama|Family;africa|boy
1076;Dumb & Dumber;1994;7.3;113;Peter Farrelly;Lauren Holly;Comedy;friendship
1077;Dumb and Dumber To;2014;5.7;109;Bobby Farrelly;Bill Murray;Comedy;adoption|highway travel|road trip|sequel
1078;Dumb and Dumberer: When Harry Met Lloyd;2003;3.4;85;Troy Miller;Elden Henson;Comedy;1980s|high school|teenager
1079;Dune;1984;6.6;177;David Lynch;Virginia Madsen;Action|Adventure|Sci-Fi;space travel
1080;Dungeons & Dragons: Wrath of the Dragon God;2005;4.9;105;Gerry Lively;Bruce Payne;Action|Adventure|Fantasy;combat|martial arts|violence
1081;Duplex;2003;5.8;89;Danny DeVito;Justin Theroux;Comedy;christmas|television|writer
1082;Duplicity;2009;6.2;125;Tony Gilroy;Julia Roberts;Comedy|Crime|Romance|Thriller;rivalry|spy
1083;Dwegons and Leprechauns;2014;4.8;98;Tom Walsh;Joey D. Vieira;Animation;
1084;Dying of the Light;2014;4.4;94;Paul Schrader;Nicolas Cage;Drama|Thriller;cia|mental illness|religion|revenge
1085;Dylan Dog: Dead of Night;2010;5.1;107;Kevin Munroe;Marco St. John;Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller;monster|supernatural|vomiting
1086;DysFunktional Family;2003;6.6;89;George Gallo;Eddie Griffin;Comedy|Documentary;african american|family relationships|stand up comedian
1087;Dysfunctional Friends;2012;5.4;111;Corey Grant;Christian Keyes;Comedy|Drama;inheritance|mansion
1088;Déjà Vu;1997;7.0;117;Henry Jaglom;Vanessa Redgrave;Drama|Romance;american|love|stranger
1089;E.T. the Extra-Terrestrial;1982;7.9;120;Steven Spielberg;Henry Thomas;Family|Sci-Fi;boy|doll
1090;Eagle Eye;2008;6.6;118;D.J. Caruso;Rosario Dawson;Action|Mystery|Thriller;death|technology|twin brother
1091;Earth to Echo;2014;5.8;91;Dave Green;Teo Halm;Adventure|Family|Sci-Fi;alien|bar|no opening credits
1092;Earth;1998;7.8;110;Deepa Mehta;Nandita Das;Drama|Romance|War;friend|india|muslim
1093;East Is East;1999;6.9;96;Damien O'Donnell;Archie Panjabi;Comedy|Drama;england|marriage|muslim
1094;Eastern Promises;2007;7.7;96;David Cronenberg;Viggo Mortensen;Crime|Mystery|Thriller;male pubic hair|pubic hair|russian|sex scene
1095;Easy A;2010;7.1;92;Will Gluck;Emma Stone;Comedy|Romance;gay|gay interest|high school|school|student
1096;Easy Money;2010;6.7;124;Daniel Espinosa;Fabian Bolin;Action|Crime|Drama|Thriller;drugs|first part
1097;Easy Virtue;2008;6.7;97;Stephan Elliott;Colin Firth;Comedy|Romance;female frontal nudity|female nudity
1098;Eat Pray Love;2010;5.7;140;Ryan Murphy;James Franco;Drama|Romance;divorce|female protagonist
1099;Echo Dr.;2013;3.6;81;Patrick Ryan Sims;Claire Gordon-Harper;Action|Drama|Sci-Fi|Thriller;android|artificial intelligence
1100;Ed Wood;1994;7.9;127;Tim Burton;Johnny Depp;Biography|Comedy|Drama;1950s|director|friend|friendship
1101;Ed and His Dead Mother;1993;6.1;93;Jonathan Wacks;Steve Buscemi;Comedy|Horror;dog|zombie
1102;Eddie the Eagle;2016;7.5;106;Dexter Fletcher;Hugh Jackman;Biography|Comedy|Drama|Sport;coach|winter
1103;Eddie: The Sleepwalking Cannibal;2012;5.7;83;Boris Rodriguez;Stephen McHattie;Comedy|Horror;painter
1104;Eden Lake;2008;6.8;91;James Watkins;Michael Fassbender;Horror|Thriller;forest|lake|vomiting
1105;Eden;2015;4.8;90;Shyam Madiraju;Jessica Lowndes;Drama|Thriller;island|stranded
1106;Edge of Darkness;2010;6.6;117;Martin Campbell;Bojana Novakovic;Crime|Drama|Mystery|Thriller;activist|detective|father daughter relationship|investigation
1107;Edge of Tomorrow;2014;7.9;113;Doug Liman;Tom Cruise;Action|Adventure|Sci-Fi;alien|combat|time loop
1108;Edmond;2005;6.3;82;Stuart Gordon;Joe Mantegna;Drama|Thriller;violence
1109;Edtv;1999;6.1;122;Ron Howard;Matthew McConaughey;Comedy|Drama;one word title|television|video store
1110;Edward Scissorhands;1990;7.9;105;Tim Burton;Johnny Depp;Fantasy|Romance;inventor|magical realism|suburb
1111;Eight Below;2006;7.3;120;Frank Marshall;Paul Walker;Adventure|Drama|Family;antarctica|dog|survival
1112;Eight Legged Freaks;2002;5.4;99;Ellory Elkayem;Scarlett Johansson;Action|Comedy|Horror;spider
1113;El Mariachi;1992;6.9;81;Robert Rodriguez;Carlos Gallardo;Action|Crime|Drama|Romance|Thriller;assassin|death|guitar|gun
1114;El crimen del padre Amaro;2002;6.8;118;Carlos Carrera;Damián Alcázar;Drama|Romance;church|love|mexico|politics|priest
1115;Election;1999;7.3;103;Alexander Payne;Matthew Broderick;Comedy|Drama;female protagonist|high school
1116;Elektra;2005;4.8;100;Rob Bowman;Jennifer Garner;Action|Crime|Fantasy|Thriller;assassin|battle|martial arts
1117;Elf;2003;6.9;97;Jon Favreau;Peter Dinklage;Comedy|Family|Fantasy|Romance;baby|elf|new york city
1118;Elite Squad;2007;8.1;115;José Padilha;Wagner Moura;Action|Crime|Drama|Thriller;brazil|police|slum
1119;Elizabeth: The Golden Age;2007;6.9;114;Shekhar Kapur;Eddie Redmayne;Biography|Drama|History|War;court|queen|spain|virgin
1120;Elizabethtown;2005;6.4;123;Cameron Crowe;Orlando Bloom;Comedy|Drama|Romance;flight|flight attendant|travel
1121;Elizabeth;1998;7.5;124;Shekhar Kapur;Fanny Ardant;Biography|Drama|History;catholic|queen
1122;Ella Enchanted;2004;6.3;96;Tommy O'Haver;Anne Hathaway;Comedy|Family|Fantasy|Romance;curse|fairy|prince|strong female character
1123;Elling;2001;7.6;89;Petter Næss;Jørgen Langhelle;Comedy|Drama;friendship|mental illness|poet|virgin
1124;Elmer Gantry;1960;7.9;146;Richard Brooks;Shirley Jones;Drama;1920s
1125;Elsa & Fred;2014;6.5;97;Michael Radford;Chris Noth;Comedy|Drama|Romance;apartment|love
1126;Elysium;2013;6.6;109;Neill Blomkamp;Matt Damon;Action|Drama|Sci-Fi|Thriller;
1127;Elza;2011;6.7;78;Mariette Monpierre;Stana Roumillac;Drama;french
1128;Employee of the Month;2006;5.5;103;Greg Coolidge;Dane Cook;Comedy|Romance;competition|date|slacker
1129;Enchanted;2007;7.1;107;Kevin Lima;Jeff Bennett;Animation|Comedy|Family|Fantasy|Musical|Romance;fairy tale|lawyer|love|new york|prince
1130;End of Days;1999;5.7;121;Peter Hyams;CCH Pounder;Action|Fantasy|Horror|Mystery;female nudity
1131;End of Watch;2012;7.7;109;David Ayer;Jake Gyllenhaal;Crime|Drama|Thriller;lapd|police|police officer
1132;End of the Spear;2005;7.0;108;Jim Hanon;Chase Ellison;Adventure|Drama;death|missionary|tribe
1133;Ender's Game;2013;6.7;114;Gavin Hood;Harrison Ford;Action|Sci-Fi;alien|future|training
1134;Endless Love;2014;6.3;104;Shana Feste;Alex Pettyfer;Drama|Romance;brother sister relationship|love
1135;Enemy at the Gates;2001;7.6;131;Jean-Jacques Annaud;Bob Hoskins;Drama|History|War;battle|german|russian|sniper
1136;Enemy of the State;1998;7.3;140;Tony Scott;Will Smith;Action|Crime|Drama|Mystery|Thriller;congressman|lawyer|on the run|surveillance
1137;Enough Said;2013;7.1;93;Nicole Holofcener;Christopher Nicholas Smith;Comedy|Drama|Romance;dating|party
1138;Enough;2002;5.6;115;Michael Apted;Bill Cobbs;Crime|Drama|Thriller;abusive husband|escape|marriage|woman wearing only a man's shirt
1139;Enter Nowhere;2011;6.6;90;Jack Heller;Shaun Sipos;Mystery|Thriller;cabin|stranger|woods
1140;Enter the Dangerous Mind;2013;5.2;88;Youssef Delara;Noel Gugliemi;Thriller;
1141;Enter the Void;2009;7.3;161;Gaspar Noé;Paz de la Huerta;Drama|Fantasy;drugs|love|stripper
1142;Entrapment;1999;6.2;113;Jon Amiel;Will Patton;Action|Crime|Romance|Thriller;insurance|mask
1143;Envy;2004;4.8;99;Barry Levinson;Amy Poehler;Comedy;best friend|dog|jealousy|neighbor
