ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
40;28 Days Later...;2002;7.6;113;Danny Boyle;Noah Huntley;Drama|Horror|Sci-Fi|Thriller;london england|military|virus|zombie apocalypse
41;28 Days;2000;6.0;103;Betty Thomas;Steve Buscemi;Comedy|Drama;box office hit|car accident|vomiting|wedding
42;28 Weeks Later;2007;7.0;100;Juan Carlos Fresnadillo;Jeremy Renner;Drama|Horror|Sci-Fi;paris france|sniper|zombie apocalypse
43;2:13;2009;4.8;96;Charles Adelman;Teri Polo;Horror|Thriller;death|murder|serial killer
44;3 Backyards;2010;5.2;88;Eric Mendelsohn;Embeth Davidtz;Drama;number in title
45;3 Days to Kill;2014;6.2;123;McG;Connie Nielsen;Action|Drama|Thriller;cancer|spy|terrorist
46;3 Men and a Baby;1987;5.9;102;Leonard Nimoy;Tom Selleck;Comedy|Drama|Family;1980s|baby|heroin
47;3 Ninjas Kick Back;1994;4.3;93;Charles T. Kanganis;Victor Wong;Action|Comedy|Family;1990s|japan
48;3 Strikes;2000;4.0;82;DJ Pooh;Mo'Nique;Comedy;digit in title|dream
49;30 Days of Night;2007;6.6;113;David Slade;Danny Huston;Horror;alaska|small town|snow|vampire|winter
50;30 Minutes or Less;2011;6.1;83;Ruben Fleischer;Bianca Kajlich;Action|Comedy|Crime;bank robbery
51;30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo;2013;2.6;80;Craig Moss;French Stewart;Comedy;exorcism|female nudity|haunted house|lesbian kiss|masturbation
52;3000 Miles to Graceland;2001;5.9;125;Demian Lichtenstein;Jon Lovitz;Action|Comedy|Crime|Thriller;casino|gun|heist
53;300: Rise of an Empire;2014;6.2;102;Noam Murro;Eva Green;Action|Drama|Fantasy|War;army|female rear nudity|greek|navy
54;300;2006;7.7;117;Zack Snyder;Gerard Butler;Action|Drama|Fantasy|War;battle|epic|warrior
55;3:10 to Yuma;2007;7.8;122;James Mangold;Christian Bale;Adventure|Crime|Drama|Western;outlaw|rancher|train
56;3;2010;6.8;119;Tom Tykwer;Devid Striesow;Comedy|Drama|Romance;female nudity|male frontal nudity|pubic hair
57;4 Months, 3 Weeks and 2 Days;2007;7.9;113;Cristian Mungiu;Anamaria Marinca;Drama;female rear nudity|friend|hotel
58;40 Days and 40 Nights;2002;5.6;96;Michael Lehmann;Emmanuelle Vaugier;Comedy|Romance;male rear nudity|masturbation|sex
59;42nd Street;1933;7.7;89;Lloyd Bacon;Ginger Rogers;Comedy|Musical|Romance;director|song
60;42;2013;7.5;128;Brian Helgeland;Harrison Ford;Biography|Drama|Sport;baseball|racism
61;47 Ronin;2013;6.3;128;Carl Rinsch;Keanu Reeves;Action|Adventure|Drama|Fantasy;box office flop|samurai|tournament
62;5 Days of War;2011;5.6;113;Renny Harlin;Richard Coyle;Action|Drama|War;journalist
63;50 First Dates;2004;6.8;99;Peter Segal;Adam Sandler;Comedy|Romance;dream|hawaii
64;50/50;2011;7.7;100;Jonathan Levine;Joseph Gordon-Levitt;Comedy|Drama|Romance;best friend|cancer|therapist|vomiting
65;500 Days of Summer;2009;7.7;95;Marc Webb;Joseph Gordon-Levitt;Comedy|Drama|Romance;friend|office|summer
